ID	Name	type	cost	attack	health	durability	text	inPlayText	mechanics	playerClass	rarity
EX1_066	Acidic Swamp Ooze	Minion	2	3	2		<b>Battlecry:</b> Destroy your opponent's weapon.		Battlecry		
CS2_041	Ancestral Healing	Spell	0				Restore a minion to full Health and give it <b>Taunt</b>.			Shaman	
CS2_041e	Ancestral Infusion	Enchantment					Taunt.		Taunt	Shaman	
HERO_09	Anduin Wrynn	Hero			30					Priest	
NEW1_031	Animal Companion	Spell	3				Summon a random Beast Companion.			Hunter	
CS2_025	Arcane Explosion	Spell	2				Deal $1 damage to all enemy minions.			Mage	
CS2_023	Arcane Intellect	Spell	3				Draw 2 cards.			Mage	
EX1_277	Arcane Missiles	Spell	1				Deal $3 damage randomly split among all enemies.		ImmuneToSpellpower	Mage	
DS1_185	Arcane Shot	Spell	1				Deal $2 damage.			Hunter	
CS2_112	Arcanite Reaper	Weapon	5	5		2				Warrior	
CS2_155	Archmage	Minion	6	4	7		<b>Spell Damage +1</b>		Spellpower		
CS2_102	Armor Up!	Hero Power	2				<b>Hero Power</b>\nGain 2 Armor.			Warrior	
CS2_080	Assassin's Blade	Weapon	5	3		4				Rogue	
CS2_076	Assassinate	Spell	5				Destroy an enemy minion.			Rogue	
CS2_072	Backstab	Spell	0				Deal $2 damage to an undamaged minion.			Rogue	
CS2_092	Blessing of Kings	Spell	4				Give a minion +4/+4. <i>(+4 Attack/+4 Health)</i>			Paladin	
CS2_092e	Blessing of Kings	Enchantment					+4/+4.			Paladin	
CS2_087	Blessing of Might	Spell	1				Give a minion +3 Attack.			Paladin	
CS2_087e	Blessing of Might	Enchantment					+3 Attack.			Paladin	
CS2_172	Bloodfen Raptor	Minion	2	3	2						Beast
CS2_046e	Bloodlust	Enchantment					+3 Attack this turn.		OneTurnEffect	Shaman	
CS2_046	Bloodlust	Spell	5				Give your minions +3 Attack this turn.			Shaman	
CS2_173	Bluegill Warrior	Minion	2	2	1		<b>Charge</b>		Charge		Murloc
CS2_187	Booty Bay Bodyguard	Minion	5	5	4		<b>Taunt</b>		Taunt		
CS2_200	Boulderfist Ogre	Minion	6	6	7						
CS2_103	Charge	Spell	3				Give a friendly minion +2 Attack and <b>Charge</b>.			Warrior	
EX1_084e	Charge	Enchantment					This minion has <b>Charge</b>.			Warrior	
DS1_178e	Charge	Enchantment					Tundra Rhino grants <b>Charge</b>.			Hunter	
CS2_103e2	Charge	Enchantment					+2 Attack and <b>Charge</b>.			Warrior	
CS2_182	Chillwind Yeti	Minion	4	4	5						
CS2_005o	Claw	Enchantment					+2 Attack this turn.		OneTurnEffect	Druid	
CS2_005	Claw	Spell	1				Give your hero +2 Attack this turn and 2 Armor.			Druid	
CS2_017o	Claws	Enchantment					Your hero has +1 Attack this turn.		OneTurnEffect	Druid	
CS2_114	Cleave	Spell	2				Deal $2 damage to two random enemy minions.			Warrior	
EX1_019e	Cleric's Blessing	Enchantment					+1/+1.			Priest	
CS2_093	Consecration	Spell	4				Deal $2 damage to all enemies.			Paladin	
CS2_201	Core Hound	Minion	7	9	5						Beast
CS2_063	Corruption	Spell	1				Choose an enemy minion. At the start of your turn, destroy it.			Warlock	
CS2_063e	Corruption	Enchantment					At the start of the corrupting player's turn, destroy this minion.			Warlock	
CS2_083b	Dagger Mastery	Hero Power	2				<b>Hero Power</b>\nEquip a 1/2 Dagger.			Rogue	
EX1_582	Dalaran Mage	Minion	3	1	4		<b>Spell Damage +1</b>		Spellpower		
DS1_055	Darkscale Healer	Minion	5	4	5		<b>Battlecry:</b> Restore 2 Health to all friendly characters.		Battlecry		
CS2_074	Deadly Poison	Spell	1				Give your weapon +2 Attack.			Rogue	
CS2_236e	Divine Spirit	Enchantment					This minion has double Health.			Priest	
CS2_236	Divine Spirit	Spell	2				Double a minion's Health.			Priest	
EX1_025	Dragonling Mechanic	Minion	4	2	4		<b>Battlecry:</b> Summon a 2/1 Mechanical Dragonling.		Battlecry		
CS2_061	Drain Life	Spell	3				Deal $2 damage. Restore #2 Health to your hero.			Warlock	
CS2_064	Dread Infernal	Minion	6	6	6		<b>Battlecry:</b> Deal 1 damage to ALL other characters.		Battlecry	Warlock	Demon
CS2_189	Elven Archer	Minion	1	1	1		<b>Battlecry:</b> Deal 1 damage.		Battlecry		
CS2_013t	Excess Mana	Spell	0				Draw a card. <i>(You can only have 10 Mana in your tray.)</i>			Druid	
CS2_108	Execute	Spell	1				Destroy a damaged enemy minion.			Warrior	
NEW1_033o	Eye In The Sky	Enchantment					Leokk is granting this minion +1 Attack.			Hunter	
EX1_129	Fan of Knives	Spell	3				Deal $1 damage to all enemy minions. Draw a card.			Rogue	
CS2_106	Fiery War Axe	Weapon	2	3		2				Warrior	
CS2_042	Fire Elemental	Minion	6	6	5		<b>Battlecry:</b> Deal 3 damage.		Battlecry	Shaman	
CS2_029	Fireball	Spell	4				Deal $6 damage.			Mage	
CS2_034	Fireblast	Hero Power	2				<b>Hero Power</b>\nDeal 1 damage.			Mage	
CS2_032	Flamestrike	Spell	7				Deal $4 damage to all enemy minions.			Mage	
EX1_565o	Flametongue	Enchantment					+2 Attack from Flametongue Totem.			Shaman	
EX1_565	Flametongue Totem	Minion	2	0	3		Adjacent minions have +2 Attack.	Flametongue	AdjacentBuff,Aura	Shaman	Totem
CS2_026	Frost Nova	Spell	3				<b>Freeze</b> all enemy minions.		Freeze	Mage	
CS2_037	Frost Shock	Spell	1				Deal $1 damage to an enemy character and <b>Freeze</b> it.		Freeze	Shaman	
CS2_024	Frostbolt	Spell	2				Deal $3 damage to a character and <b>Freeze</b> it.		Freeze	Mage	
CS2_121	Frostwolf Grunt	Minion	2	2	2		<b>Taunt</b>		Taunt		
CS2_226	Frostwolf Warlord	Minion	5	4	4		<b>Battlecry:</b> Gain +1/+1 for each other friendly minion on the battlefield.	Warlord	Battlecry		
DS1_175o	Furious Howl	Enchantment					This Beast has +1 Attack from Timber Wolf.			Hunter	
HERO_01	Garrosh Hellscream	Hero			30					Warrior	
CS2_147	Gnomish Inventor	Minion	4	2	4		<b>Battlecry:</b> Draw a card.		Battlecry		
CS1_042	Goldshire Footman	Minion	1	1	2		<b>Taunt</b>		Taunt		
EX1_508	Grimscale Oracle	Minion	1	1	1		ALL other Murlocs have +1 Attack.	Argalagblbl	Aura		Murloc
CS2_088	Guardian of Kings	Minion	7	5	6		<b>Battlecry:</b> Restore 6 Health to your hero.		Battlecry	Paladin	
HERO_07	Gul'dan	Hero			30					Warlock	
EX1_399	Gurubashi Berserker	Minion	5	2	7		Whenever this minion takes damage, gain +3 Attack.				
CS2_094	Hammer of Wrath	Spell	4				Deal $3 damage.\nDraw a card.			Paladin	
EX1_371	Hand of Protection	Spell	1				Give a minion <b>Divine Shield</b>.			Paladin	
NEW1_009	Healing Totem	Minion	1	0	2		At the end of your turn, restore 1 Health to all friendly minions.","race":"Totem			Shaman	Totem
CS2_007	Healing Touch	Spell	3				Restore #8 Health.			Druid	
CS2_062	Hellfire	Spell	4				Deal $3 damage to ALL characters.			Warlock	
CS2_105e	Heroic Strike	Enchantment					+4 Attack this turn.		OneTurnEffect	Warrior	
